seat,예매여부 sum,좌석 오픈 여부 sum,원가격추정 amin,원가격추정 mean,원가격추정 amax,거래까지걸린시간_시간 mean,거래까지걸린시간_등수 amax,거래까지걸린시간_등수 amin,표준화 등수 점수 mean,좌석 예매율,Unnamed: 0,층,블록,열,넘버,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각,시야방해점수,좌석공간넓음,휠체어석,1/거리**3,무대정면과의각도,좌우시선각도,상하시선각도,주성분,before_smoothing_label,after_smoothing_label
1층 A블록10열 1,13,36,60000,85394.73684210527,100000,1248.775641025641,967.0,2.0,0.0976692139636941,0.3611111111111111,476,1층,A블록,10,1,1747,1347,69,1층 E블록10열 11,2207.074761,23.1701871,20.36413569,100,0,0,9.301411682107503e-11,0.611,38.24953921569537,1.7915356280685533,-83.48283637539106,3,3
1층 A블록10열 10,26,38,60000,89342.1052631579,110000,815.3205128205128,749.0,2.0,0.33837466019682294,0.6842105263157895,485,1층,A블록,10,10,1296,1463,69,1층 E블록10열 2,1955.695784,33.79013831,18.74566607,100,0,0,1.3368913133791018e-10,0.749,27.419218037270923,2.021904158761718,-334.89141333610274,2,2
1층 A블록10열 11,21,31,50000,88157.8947368421,115000,916.452380952381,683.0,2.0,0.3911890463783565,0.6774193548387096,486,1층,A블록,10,11,1246,1473,69,1층 E블록10열 1,1930.545519,35.06083587,18.44684509,100,0,0,1.3898241760129358e-10,0.763,26.110697122139648,2.048255757033433,-360.0450267550882,2,2
1층 A블록10열 2,14,34,60000,85526.31578947368,100000,1120.2440476190477,942.0,2.0,0.14443094357327482,0.4117647058823529,477,1층,A블록,10,2,1698,1361,69,1층 E블록10열 10,2177.219787,24.22176372,20.27930186,100,0,0,9.689317389126128e-11,0.625,37.169794838803234,1.816110109961677,-113.34050299298852,3,3
1층 A블록10열 3,16,33,60000,85789.47368421052,100000,1098.0416666666667,909.0,2.0,0.18171754172618884,0.48484848484848486,478,1층,A블록,10,3,1649,1375,69,1층 E블록10열 9,2148.158979,25.304345,20.17100227,100,0,0,1.0087899401881195e-10,0.64,36.06040337358952,1.8406872804828005,-142.4042096451995,3,3
1층 A블록10열 4,19,37,60000,85789.47368421052,100000,1048.3578947368421,909.0,2.0,0.17465769450582994,0.5135135135135135,479,1층,A블록,10,4,1600,1388,69,1층 E블록10열 8,2119.269921,26.41160146,20.05003575,100,0,0,1.0506091465623095e-10,0.655,34.9414199349469,1.865787622002768,-171.29637520400175,0,3
1층 A블록10열 5,15,32,60000,86184.21052631579,100000,1111.0711111111111,749.0,2.0,0.19511605858097597,0.46875,480,1층,A블록,10,5,1548,1403,69,1층 E블록10열 7,2090.328682,27.62121418,19.87830982,100,0,0,1.0948541300336838e-10,0.672,33.696074803567946,1.8916293472785948,-200.24099589896247,3,0
1층 A블록10열 6,20,35,60000,86315.78947368421,100000,1025.0716666666667,746.0,2.0,0.22034264422111702,0.5714285714285714,481,1층,A블록,10,6,1498,1415,69,1층 E블록10열 6,2061.792909,28.80311712,19.71466561,100,0,0,1.1409454350050058e-10,0.687,32.51514323296018,1.9178197256870588,-228.7802545674102,0,0
1층 A블록10열 7,22,33,60000,86578.94736842105,100000,1159.456818181818,909.0,2.0,0.25031328082522564,0.6666666666666666,482,1층,A블록,10,7,1449,1427,69,1층 E블록10열 5,2034.868792,29.98596532,19.52272659,100,0,0,1.1868361506433082e-10,0.702,31.32133457840017,1.943204792741615,-255.7078273308352,2,2
1층 A블록10열 8,23,34,60000,86973.68421052632,100000,977.6101449275362,909.0,2.0,0.2572174000766946,0.6764705882352942,483,1층,A블록,10,8,1399,1439,69,1층 E블록10열 4,2008.154128,31.21330922,19.29946072,100,0,0,1.2348348363978248e-10,0.717,30.075560263954426,1.9690655448954413,-282.42602993117845,2,0
1층 A블록10열 9,20,33,60000,87894.73684210527,105000,947.1358333333334,746.0,2.0,0.2885605393354272,0.6060606060606061,484,1층,A블록,10,9,1349,1451,69,1층 E블록10열 3,1982.413428,32.45722876,19.04376789,100,0,0,1.2835633490040008e-10,0.732,28.796777441482966,1.9946431958802189,-308.1701869689501,0,2
1층 A블록11열 1,16,38,60000,85263.15789473684,100000,1313.5625,942.0,35.0,0.0918898799131598,0.42105263157894735,533,1층,A블록,11,1,1773,1439,89,1층 E블록11열 11,2285.206993,23.21582372,19.31916864,100,0,0,8.379601519738546e-11,0.63,36.90032556625118,2.2320141608159068,-5.345759125477288,3,0
1층 A블록11열 10,24,34,60000,87894.73684210527,115000,767.5194444444445,935.0,2.0,0.3867887073147056,0.7058823529411765,542,1층,A블록,11,10,1315,1556,89,1층 E블록11열 2,2039.186603,33.01876119,17.56909433,100,0,0,1.1793130170736562e-10,0.764,26.165433170035463,2.501460478086036,-251.38366400165452,2,2
1층 A블록11열 11,28,38,50000,88815.78947368421,115000,630.270238095238,746.0,2.0,0.4541573578172035,0.7368421052631579,543,1층,A블록,11,11,1265,1566,89,1층 E블록11열 1,2015.068733,34.15547101,17.26792383,100,0,0,1.2221665892422158e-10,0.778,24.894706482051088,2.531419232576193,-275.5032703862973,2,2
1층 A블록11열 2,17,34,60000,85263.15789473684,100000,1466.6588235294118,942.0,35.0,0.12851813389803377,0.5,534,1층,A블록,11,2,1724,1452,89,1층 E블록11열 10,2255.748435,24.18202467,19.22680122,100,0,0,8.712203392973636e-11,0.644,35.858755553024565,2.261177809924265,-34.80592924081329,0,0
1층 A블록11열 3,15,32,60000,85131.57894736843,100000,1130.6166666666666,967.0,5.0,0.16258584662019349,0.46875,535,1층,A블록,11,3,1675,1466,89,1층 E블록11열 9,2227.712279,25.17742818,19.10197967,100,0,0,9.0452943474624e-11,0.659,34.770567088719616,2.289650198367247,-62.84381903823015,3,0
1층 A블록11열 4,18,35,60000,85789.47368421052,100000,1162.663888888889,967.0,5.0,0.16636055779356332,0.5142857142857142,536,1층,A블록,11,4,1626,1480,89,1층 E블록11열 8,2200.499262,26.19495404,18.95413249,100,0,0,9.385044112210168e-11,0.673,33.65500923046333,2.3179810871049784,-90.05866927264083,0,0
1층 A블록11열 5,22,38,60000,86184.21052631579,100000,872.2643939393939,942.0,5.0,0.2310531782564215,0.5789473684210527,537,1층,A블록,11,5,1570,1495,89,1층 E블록11열 7,2169.757129,27.37983062,18.76717101,100,0,0,9.789637893582184e-11,0.69,32.36549424613564,2.350841638454598,-120.8030204229086,0,0
1층 A블록11열 6,15,30,60000,85921.05263157895,100000,1004.5744444444445,942.0,5.0,0.24044340197840192,0.5,538,1층,A블록,11,6,1521,1507,89,1층 E블록11열 6,2142.991134,28.43484845,18.59017022,100,0,0,1.0161056755524072e-10,0.704,31.22866247576563,2.380220488286107,-147.57106066084364,0,0
1층 A블록11열 7,23,36,60000,86447.36842105263,100000,1009.1833333333334,749.0,5.0,0.23825506334780241,0.6388888888888888,539,1층,A블록,11,7,1471,1519,89,1층 E블록11열 5,2116.393867,29.52885645,18.38595435,100,0,0,1.0548981166820555e-10,0.718,30.044037068118342,2.410150878384254,-174.17043202025354,0,0
1층 A블록11열 8,24,35,60000,86842.1052631579,105000,795.2298611111111,749.0,2.0,0.3533705662004742,0.6857142857142857,540,1층,A블록,11,8,1421,1531,89,1층 E블록11열 4,2090.723081,30.63745037,18.15374501,100,0,0,1.0942346392093975e-10,0.733,28.829738542536724,2.439761525163352,-199.8432667726644,2,0
1층 A블록11열 9,20,31,60000,87631.57894736843,110000,760.0975000000001,935.0,2.0,0.35859520388776517,0.6451612903225806,541,1층,A블록,11,9,1368,1544,89,1층 E블록11열 3,2064.771416,31.82337604,17.87217585,100,0,0,1.1360149897669371e-10,0.748,27.5050322132671,2.470445258343255,-225.79694027464328,2,0
1층 A블록12열 1,13,32,60000,84736.84210526316,100000,1055.1320512820514,967.0,2.0,0.15896522749222258,0.40625,593,1층,A블록,12,1,1813,1526,109,1층 E블록12열 12,2372.240713,22.91077296,18.38744907,100,0,0,7.490722950312028e-11,0.644,35.80062132192327,2.6335605598493737,81.69342674673001,3,0
1층 A블록12열 10,23,32,60000,87368.42105263157,115000,835.244927536232,712.0,2.0,0.3385907364700107,0.71875,602,1층,A블록,12,10,1378,1640,109,1층 E블록12열 3,2144.846148,31.33156098,16.74510724,100,0,0,1.0134715557958224e-10,0.766,25.92635325604396,2.9129974111375496,-145.70771107321548,2,2
1층 A블록12열 11,25,35,60000,87500.0,115000,1028.5593333333334,746.0,2.0,0.30422943538019,0.7142857142857143,603,1층,A블록,12,11,1329,1650,109,1층 E블록12열 2,2121.466945,32.32927171,16.47329241,100,0,0,1.0473484444543579e-10,0.779,24.737765939069664,2.94512766609696,-169.08748963858278,2,2
1층 A블록12열 12,28,37,60000,88289.47368421052,115000,760.7952380952381,749.0,2.0,0.3842633715132832,0.7567567567567568,604,1층,A블록,12,12,1280,1660,109,1층 E블록12열 1,2099.019057,33.32789826,16.17488065,100,0,0,1.0813115833553048e-10,0.792,23.52315537177157,2.976652451882796,-191.53573369237645,2,2
1층 A블록12열 2,19,38,60000,85000.0,100000,1072.7543859649122,967.0,2.0,0.15925118922130901,0.5,594,1층,A블록,12,2,1765,1540,109,1층 E블록12열 11,2344.931982,23.78374885,18.27545476,100,0,0,7.755490143571029e-11,0.657,34.78251263426752,2.664252613429621,54.38412037416068,0,0
1층 A블록12열 3,14,33,60000,85000.0,100000,1166.8940476190476,967.0,2.0,0.161378404830776,0.42424242424242425,595,1층,A블록,12,3,1717,1553,109,1층 E블록12열 10,2317.709861,24.67212069,18.15461161,100,0,0,8.03198325522292e-11,0.671,33.759045751271294,2.6955679447101875,27.161306476882764,3,0
1층 A블록12열 4,14,33,60000,85000.0,100000,914.4166666666667,967.0,2.0,0.18823767689912144,0.42424242424242425,596,1층,A블록,12,4,1668,1567,109,1층 E블록12열 9,2291.199249,25.59869084,18.00319608,100,0,0,8.314026896937214e-11,0.685,32.676153417051204,2.7267807892926945,0.6499408315909546,3,0
